user_name,text,place_name,country
Top_Fincas,"El Gobierno de España ya había publicado la 📲 “GUÍA DE BUENAS PRÁCTICAS EN LAS SALIDAS
DE LA POBLACIÓN INFANTIL DUR… https://t.co/jwVeHQcSkw",Seville,ES
Francis82301745,Mientras esperamos podemos 🕺🎶 en Moncloa esta en directo o igual esta el niño allí 🤣🤣🤣,Málaga,ES
fandeNuriaFeliu,@Mbmbm3m @sito_1983 @sanidadgob @salvadorilla Y aún defiendes a un gobierno inepto... así va este país. Vergüenza.,Barcelona,ES
JOSEANGELROELR1,"Sñ. Abascal , Sñ. Pablo Casado, dadas las circunstancias de desmán de este régimen, no sería mejor que se produzca… https://t.co/yVhA7iwuMk",San Vicente del Palacio,ES
MiguelGarciaDo6,9.A un gobierno que ni lleva 100 días de gobierno con medias verdades ..con X calumnias ..Acusando a nuestro presid… https://t.co/wgNCBD39Mq,Palma,ES
JaumedeMallorca,Luego podemos discutir lo de que tengan que salir dos niños con uno de los padres únicamente. En muchos casos es ca… https://t.co/L9tSx7mriF,Palma,ES
mariliendre3,@PabloIglesias @SextaNocheTV Podemos 🙋,Málaga,ES
acpsicopedagoga,"No podemos permitirnos retroceder en el control de la pandemia, por favor, pido a las familias responsabilidad y se… https://t.co/TmxW9P3Bku",Valencia,ES
A_MtnezIniesta,🚨 Me parece totalmente deplorable que por parte del gobierno socialcomunista de @sanchezcastejon  dedique esta exce… https://t.co/gWDp2MtTrU,Albacete,ES
carmen81533233,Sánchez se carga el pacto con el PP a través de una brutal embestida en 'El País' contra Casado - Libertad Digital https://t.co/KwPo2SCpDJ,Vallromanes,ES
